# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River Below Big Bend,AZ,35.0917,-114.6328,US/Mountain,,,,0,,,,stream,,LC,bbblc,488.4
Colorado River Below Interstate Bridge,AZ,33.6006,-114.5497,US/Mountain,,,,0,,,,stream,,LC,biblc,
Colorado River Below McIntyre Park,AZ,33.5164,-114.5692,US/Mountain,,,,0,,,,stream,,LC,bmplc,
Colorado River Below Needles Bridge,CA,34.8181,-114.5908,US/Pacific,,,,0,,,,stream,,LC,bnblc,
Colorado River Below Oxbow Bridge,AZ,33.3683,-114.7264,US/Mountain,,,,0,,,,stream,,LC,boblc,
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-14 00:00:00,4.49,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-15 00:00:00,4.48,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-16 00:00:00,4.49,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-17 00:00:00,4.49,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-18 00:00:00,4.46,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-19 00:00:00,4.48,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-20 00:00:00,4.46,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-21 00:00:00,4.49,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-22 00:00:00,4.46,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-23 00:00:00,4.45,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-24 00:00:00,4.45,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Stream Gage Height,2017-10-25 00:00:00,4.42,Feet
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-01 00:00:00,2662.15,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-02 00:00:00,3090.82,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-03 00:00:00,2979.63,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-04 00:00:00,2812.19,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-05 00:00:00,2896.8,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-06 00:00:00,2956.92,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-07 00:00:00,2905.61,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-08 00:00:00,2783.16,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-09 00:00:00,2755.5,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-10 00:00:00,2564.34,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-11 00:00:00,2474.72,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-12 00:00:00,2441.5,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-13 00:00:00,2398.15,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-14 00:00:00,2407.85,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-15 00:00:00,2399.96,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-16 00:00:00,2409.96,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-17 00:00:00,2404.59,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-18 00:00:00,2363.11,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-19 00:00:00,2389.52,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-20 00:00:00,2367.01,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-21 00:00:00,2416.43,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-22 00:00:00,2352.64,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-23 00:00:00,2335.94,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-24 00:00:00,2339.96,cubic feet per second
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,colgleco,Streamflow,2017-10-25 00:00:00,2291.19,cubic feet per second
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-01 00:00:00,1.28,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-02 00:00:00,1.28,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-03 00:00:00,1.42,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-04 00:00:00,1.4,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-05 00:00:00,1.4,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-06 00:00:00,1.4,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-07 00:00:00,1.38,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-08 00:00:00,1.38,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-09 00:00:00,1.38,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-10 00:00:00,1.38,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-11 00:00:00,1.37,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-12 00:00:00,1.22,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-13 00:00:00,1.19,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-14 00:00:00,1.19,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-15 00:00:00,1.18,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-16 00:00:00,1.17,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-17 00:00:00,1.17,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-18 00:00:00,1.17,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-19 00:00:00,1.19,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-20 00:00:00,1.18,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-21 00:00:00,1.18,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-22 00:00:00,1.2,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-23 00:00:00,1.2,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-24 00:00:00,1.2,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Stream Gage Height,2017-10-25 00:00:00,1.2,Feet
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Streamflow,2017-10-01 00:00:00,41.26,cubic feet per second
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,colngbco,Streamflow,2017-10-02 00:00:00,41.37,cubic feet per second
